"Entity","Code","Year","pa_coverage","co2_per_capita","gdp_growth"
"Palau","PLW","2017",28.0001910270941,NA,"-3.28378845489111"
"Palestine","PSE","2017",8.3592518432039,NA,"1.41936756294787"
"Panama","PAN","2017",20.8919399833618,229,"5.59132827378306"
"Papua New Guinea","PNG","2017",3.06592990438946,NA,"3.53461081750459"
"Paraguay","PRY","2017",14.3147360800329,112,"4.81007885554041"
"Peru","PER","2017",21.3141727885924,158,"2.51883544233135"
"Philippines","PHL","2017",15.3166593209145,117,"6.93098832586378"
"Poland","POL","2017",39.6501395273886,796,"4.8306560054433"
"Portugal","PRT","2017",22.9011800781885,493,"3.5063452848124"
"Puerto Rico","PRI","2017",7.26916490580618,NA,"-2.88595475858821"
"Qatar","QAT","2017",13.2292354317909,3042,"-1.49760470227838"
"Romania","ROU","2017",24.461867500098,362,"7.31944852925453"
"Russia","RUS","2017",9.72691481458987,1064,"1.82579006355112"
"Rwanda","RWA","2017",9.11408907313889,NA,"3.97628969448469"
"Saint Kitts and Nevis","KNA","2017",3.3166347171568,NA,"0.899999116287702"
"Saint Lucia","LCA","2017",18.7452095914066,NA,"3.50175264647056"
"Saint Martin (French part)","MAF","2017",12.77155153357,NA,NA
"Saint Vincent and the Grenadines","VCT","2017",22.4196222232063,NA,"0.999772778913879"
"Samoa","WSM","2017",7.34958500166056,NA,"1.04243371916148"
"Sao Tome and Principe","STP","2017",29.2559098318401,NA,"3.84898091798067"
"Saudi Arabia","SAU","2017",4.76012714075407,1561,"-0.74150265286427"
"Senegal","SEN","2017",25.3527742991175,51,"7.4074861863013"
"Serbia","SRB","2017",6.61310734024645,663,"2.10116384741241"
"Seychelles","SYC","2017",42.0940459472333,NA,"4.73836088608091"
"Sierra Leone","SLE","2017",9.38631962647526,NA,"4.19261007429208"
"Singapore","SGP","2017",5.55455982847758,876,"4.52037947555507"
"Sint Maarten (Dutch part)","SXM","2017",0.0003725939881699,NA,"-5.80000000000001"
"Slovakia","SVK","2017",37.6304133373472,592,"2.98018707320405"
"Slovenia","SVN","2017",53.6229604410885,0,"4.81538063231366"
"Solomon Islands","SLB","2017",2.21026612316804,NA,"5.34358769476628"
"South Africa","ZAF","2017",7.99816492065785,754,"1.15794695181735"
"South Korea","KOR","2017",11.6711249951255,1169,"3.15963574012777"
"South Sudan","SSD","2017",15.5015012515745,NA,NA
"Spain","ESP","2017",28.0656336491221,546,"2.97364119053731"
"Sri Lanka","LKA","2017",29.8619988979122,104,"3.5781696792194"
"Sudan","SDN","2017",2.28176318372903,46,"0.70925628476644"
"Suriname","SUR","2017",14.5201387866369,NA,"1.56719106520956"
"Sweden","SWE","2017",14.8820274643842,366,"2.56792452526476"
"Switzerland","CHE","2017",9.66518426119506,437,"1.58481961645738"
"Syria","SYR","2017",0.685302813189004,157,"-0.727486723592449"
